urban_treated,urban_control,rural_treated,rural_control,,A列平均值,139.1526316,,144.0716269,,,
95,,12,,,,,,,,,
97,,0,,,,,,,,,
113,,0,,,,,,,,,
0,,31,,,,,,,,,
70,,74,,,,,,,,,
257,,21,,,,,,,,,
74,,15,,,,,,,,,
496,,121,,,,,,,,,
50,,61,,,,,,,,,
25,,11,,,,,,,,,
187,,32,,,,,,,,,
112,,29,,,,,,,,,
170,,1,,,,,,,,,
792,,0,,,,,,,,,
172,,35,,,,,,,,,
235,,22,,,,,,,,,
3,,17,,,,,,,,,
232,,3,,,,,,,,,
185,,19,,,,,,,,,
0,,51,,,,,,,,,
47,,15,,,,,,,,,
80,,15,,,,,,,,,
0,,15,,,,,,,,,
3,,4,,,,,,,,,
139,,13,,,,,,,,,
313,,14,,,,,,,,,
0,,65,,,,,,,,,
664,,62,,,,,,,,,
470,,4,,,,,,,,,
136,,35,,,,,,,,,
77,,2,,,,,,,,,
201,,12,,,,,,,,,
73,,21,,,,,,,,,
243,,9,,,,,,,,,
119,,0,,,,,,,,,
340,,7,,,,,,,,,
11,,4,,,,,,,,,
0,,3,,,,,,,,,
11,,23,,,,,,,,,
41,,52,,,,,,,,,
119,,14,,,,,,,,,
11,,31,,,,,,,,,
524,,76,,,,,,,,,
158,,22,,,,,,,,,
121,,17,,,,,,,,,
628,,36,,,,,,,,,
312,,83,,,,,,,,,
151,,26,,,,,,,,,
53,,16,,,,,,,,,
69,,22,,,,,,,,,
19,,16,,,,,,,,,
115,,11,,,,,,,,,
26,,37,,,,,,,,,
179,,21,,,,,,,,,
489,,11,,,,,,,,,
359,,0,,,,,,,,,
183,,21,,,,,,,,,
5,,5,,,,,,,,,
493,,54,,,,,,,,,
163,,22,,,,,,,,,
69,,133,,,,,,,,,
41,,5,,,,,,,,,
43,,150,,,,,,,,,
24,,21,,,,,,,,,
29,,4,,,,,,,,,
126,,48,,,,,,,,,
49,,153,,,,,,,,,
9,,12,,,,,,,,,
31,,10,,,,,,,,,
39,,0,,,,,,,,,
125,,32,,,,,,,,,
80,,2,,,,,,,,,
30,,9,,,,,,,,,
165,,16,,,,,,,,,
6,,15,,,,,,,,,
6,,9,,,,,,,,,
170,,279,,,,,,,,,
0,,5,,,,,,,,,
38,,13,,,,,,,,,
87,,16,,,,,,,,,
22,,12,,,,,,,,,
60,,2,,,,,,,,,
20,,49,,,,,,,,,
20,,0,,,,,,,,,
4,,5,,,,,,,,,
52,,3,,,,,,,,,
18,,4,,,,,,,,,
30,,27,,,,,,,,,
66,,0,,,,,,,,,
146,,0,,,,,,,,,
0,,0,,,,,,,,,
41,,12,,,,,,,,,
0,,8,,,,,,,,,
8,,14,,,,,,,,,
14,,10,,,,,,,,,
37,,0,,,,,,,,,
3,,5,,,,,,,,,
39,,13,,,,,,,,,
43,,122,,,,,,,,,
226,,126,,,,,,,,,
36,,5,,,,,,,,,
73,,0,,,,,,,,,
313,,0,,,,,,,,,
343,,30,,,,,,,,,
12,,25,,,,,,,,,
4,,34,,,,,,,,,
17,,1,,,,,,,,,
0,,3,,,,,,,,,
32,,2,,,,,,,,,
8,,20,,,,,,,,,
135,,23,,,,,,,,,
25,,21,,,,,,,,,
76,,0,,,,,,,,,
0,,1,,,,,,,,,
89,,103,,,,,,,,,
30,,11,,,,,,,,,
33,,7,,,,,,,,,
140,,84,,,,,,,,,
415,,132,,,,,,,,,
1060,,0,,,,,,,,,
58,,2,,,,,,,,,
4,,5,,,,,,,,,
18,,4,,,,,,,,,
0,,3,,,,,,,,,
26,,11,,,,,,,,,
20,,0,,,,,,,,,
0,,2,,,,,,,,,
238,,3,,,,,,,,,
9,,2,,,,,,,,,
374,,12,,,,,,,,,
